full_title,year,brand,model,price,location,mileage,gearbox,ad_url,scrape_date
پژو، 207,,پژو،,207,745000000,تهران/توحید,صفر,گیربکس,https://bama.ir/car/detail-fgqicsn8-peugeot-207-tu3mt-1404,2025-05-31 14:59:41.120865
پژو، پارس,,پژو،,پارس,830000000,شیراز/شهرکسراج,30000km,گیربکس,https://bama.ir/car/detail-j1yxzta9-peugeot-pars-elxxu7p-1402,2025-05-31 14:59:42.659675
پژو، 207,,پژو،,207,1030000000,تهران/جمهوری,صفر,گیربکس,https://bama.ir/car/detail-ozfl06ho-peugeot-207-attu5p-1404,2025-05-31 14:59:44.504826
پژو، 207,,پژو،,207,825000000,تهران/آزادی,صفر,گیربکس,https://bama.ir/car/detail-kflvh5jr-peugeot-207-mt-1404,2025-05-31 14:59:46.599926
پژو، 207,,پژو،,207,825000000,تهران/جمهوری,صفر,گیربکس,https://bama.ir/car/detail-j4lu9q6v-peugeot-207-mt-1403,2025-05-31 14:59:48.985832
پژو، 207,,پژو،,207,توافقی,تهران/میرداماد,صفر,گیربکس,https://bama.ir/car/detail-mo8yvybd-peugeot-207-manualpanorama-1404,2025-05-31 14:59:50.982526
پژو، 207,,پژو،,207,توافقی,تهران/قیطریه,20000km,گیربکس,https://bama.ir/car/detail-f7bzch0i-peugeot-207-mt-1402,2025-05-31 14:59:53.364656
پژو، 207,,پژو،,207,توافقی,تهران/میرداماد,صفر,گیربکس,https://bama.ir/car/detail-ri4n2eps-peugeot-207-tu3mt-1404,2025-05-31 14:59:55.683216
پژو، 207,,پژو،,207,توافقی,تهران/میرداماد,صفر,گیربکس,https://bama.ir/car/detail-pu5ink8h-peugeot-207-mt-1404,2025-05-31 14:59:57.795460
پژو، 207,,پژو،,207,توافقی,تهران/قیطریه,صفر,گیربکس,https://bama.ir/car/detail-i0ovwrhy-peugeot-207-mt-1404,2025-05-31 14:59:59.878537
پژو، 207,,پژو،,207,توافقی,تهران/جمهوری,صفر,گیربکس,https://bama.ir/car/detail-crovle51-peugeot-207-automaticpanoramatu5p-1404,2025-05-31 15:00:02.176223
پژو، 207,,پژو،,207,905000000,تهران/آزادی,صفر,گیربکس,https://bama.ir/car/detail-m4bdbklr-peugeot-207-manualpanorama-1404,2025-05-31 15:00:04.384177
پژو، 207,,پژو،,207,767000000,تهران/آزادی,صفر,گیربکس,https://bama.ir/car/detail-8qbuved2-peugeot-207-tu3mt-1404,2025-05-31 15:00:06.589676
پژو، 207,,پژو،,207,905000000,تهران/آزادی,صفر,گیربکس,https://bama.ir/car/detail-4kygjpxy-peugeot-207-manualpanorama-1404,2025-05-31 15:00:09.143317
پژو، 207,,پژو،,207,توافقی,تهران/کلاهدوز,صفر,گیربکس,https://bama.ir/car/detail-2aoyfnoy-peugeot-207-tu3mt-1404,2025-05-31 15:00:11.138279
پژو، 206,,پژو،,206,687000000,تهران/ظفر,10000km,گیربکس,https://bama.ir/car/detail-qh0czgfr-peugeot-206ir-type3panorama-1402,2025-05-31 15:00:13.715281
پژو، 207,,پژو،,207,1070000000,تهران/جمهوری,صفر,گیربکس,https://bama.ir/car/detail-qsmirzqb-peugeot-207-automaticpanoramatu5p-1403,2025-05-31 15:00:17.045030
پژو، 207,,پژو،,207,675000000,خرمآباد,16000km,گیربکس,https://bama.ir/car/detail-qgmieov7-peugeot-207-tu3mt-1402,2025-05-31 15:00:21.670452
پژو، 2008,,پژو،,2008,توافقی,تهران/شهیدمطهری,67000km,گیربکس,https://bama.ir/car/detail-kypcdnhm-peugeot-2008-1397,2025-05-31 15:00:25.006893
پژو، 207,,پژو،,207,450000000,تهران/سعادت‌آباد,صفر,گیربکس,https://bama.ir/car/detail-btehuchj-peugeot-207-manualpanorama-1404,2025-05-31 15:00:28.443885
پژو، 206,,پژو،,206,280000000,تهران/گاندی,500000km,گیربکس,https://bama.ir/car/detail-sazjmrp3-peugeot-206ir-type2-1383,2025-05-31 15:00:30.763920
پژو، پارس,,پژو،,پارس,260000000,شهریار/اندیشه,288000km,گیربکس,https://bama.ir/car/detail-z29efocf-peugeot-pars-mt-1385,2025-05-31 15:00:33.195428
پژو، 207,,پژو،,207,توافقی,تهران/قیطریه,صفر,گیربکس,https://bama.ir/car/detail-j3fnz2hs-peugeot-207-mt-1404,2025-05-31 15:00:35.486809
پژو، 206 SD,,پژو،,206 SD,430000000,تهران/شادمهر,188000km,گیربکس,https://bama.ir/car/detail-10mhfq5w-peugeot-206sd-v9-1389,2025-05-31 15:00:37.667195
پژو، 207,,پژو،,207,توافقی,شیراز/بلوارستارخان,17000km,گیربکس,https://bama.ir/car/detail-8iftseoq-peugeot-207-manualpanorama-1402,2025-05-31 15:00:39.928376
