brand,model,year,trim_version,price,location,mileage,fuel_type,gearbox,body_condition,body_color,interior_color,ad_url,scrape_date,car_age
کی,ام سی، T9,1404,2لیترتوربو,2750000000.0,تهران/17شهریور,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-ivr1bewx-kmc-t9-2literturbo-1404,2025-06-08 18:58:37.966920,0
زامیاد,وانت نیسان,1404,دوگانهسوز,431000000.0,تهران/جمهوری,0,دوگانهسوز,دنده‌ای,بدون رنگ,آبی,داخل مشکی,https://bama.ir/car/detail-gbfit7nl-zamyad-pickup-cng-1404,2025-06-08 18:58:35.924288,0
ام,وی ام، X55 PRO,1403,IE,950000000.0,تهران/یوسفآباد,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-oh9k3uhd-mvm-x55pro-ie-1403,2025-06-08 18:58:31.603706,1
بی,وای دی، F3,1397,دنده‌ای,990000000.0,کرمان,0,بنزینی,دنده‌ای,بدون رنگ,نقرهای,داخل مشکی,https://bama.ir/car/detail-sbcvdlga-byd-f3-mt-1397,2025-06-08 18:58:27.651656,7
فیدلیتی,پرایم,1404,تیپ2هفتنفره,1100000000.0,تهران/جمهوری,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-dlurbvxi-fidelity-prime-7seater-1404,2025-06-08 18:58:25.696925,0
فونیکس,FX,1403,پریمیومFWD,990000000.0,تهران/تهرانپارسشرقی,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-2yyt6kk0-fownix-fx-premium-1403,2025-06-08 18:58:24.151500,1
شاهین,G دنده ای,1404,دنده‌ای,550000000.0,تهران/جمهوری,0,بنزینی,دنده‌ای,بدون رنگ,خاکستری,داخل مشکی,https://bama.ir/car/detail-mzo8iv92-shahin-g-1404,2025-06-08 18:58:22.610798,0
ام,وی ام، X55 PRO,1404,IE,1687000000.0,کرج/بلوارارم,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-vzjiuwbr-mvm-x55pro-ie-1404,2025-06-08 18:58:20.284657,0
لوکانو,L7,1404,1.6لیترتوربو,3300000000.0,اصفهان/بزرگراهخلیجفارس(مرق),0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-oo37qzwd-lucano-l7-1.6literturbo-1404,2025-06-08 18:58:16.481278,0
لاماری,ایما,1404,اتوماتیک,1100000000.0,تهران/جمهوری,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-pstuljdf-lamari-eama-1404,2025-06-08 18:58:13.541752,0
جک,جی 4,1404,اتوماتیک,530000000.0,تهران/تهرانپارسشرقی,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-1pgulafe-jac-j4-1404,2025-06-08 18:58:06.995073,0
فونیکس,تیگو 8 پرو هیبرید,1404,eپلاس,3302000000.0,تهران/سعادت‌آباد,0,هیبریدی,اتوماتیک,بدون رنگ,سفید,داخلمارون,https://bama.ir/car/detail-jduvqost-fownix-tiggo8prohybrid-eplus-1404,2025-06-08 18:58:01.718412,0
چری,آریزو 5T اسپرت FL,1404,IE,950000000.0,تهران/یوسفآباد,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-cyyeb7rk-chery-arrizo5tsport-ie-1404,2025-06-08 18:57:47.046141,0
کی,ام سی، J7,1404,اتوماتیک,1323000000.0,تهران/دانشگاهشریف,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-2harmjew-kmc-j7-1404,2025-06-08 18:57:43.400003,0
فیدلیتی,الیت,1404,تیپ2هفتنفره,1140000000.0,تهران/جمهوری,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-6ezb1eha-fidelity-elite-7seater-1404,2025-06-08 18:57:41.456569,0
ام,وی ام، X22 PRO,1404,دنده‌ای,530000000.0,تهران/تهرانپارسشرقی,0,بنزینی,دنده‌ای,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-d8uzbiqb-mvm-x22pro-mt-1404,2025-06-08 18:57:38.228977,0
بی,ای سی، X3 PRO,1404,1.5لیتر,600000000.0,تهران/17شهریور,0,بنزینی,اتوماتیک,بدون رنگ,خاکستری,داخل مشکی,https://bama.ir/car/detail-q6yemyu9-bac-x3pro-1.5liter-1404,2025-06-08 18:57:34.377965,0
کی,ام سی، ایگل,1404,1.5لیتر,600000000.0,تهران/تهرانپارسشرقی,0,بنزینی,اتوماتیک,بدون رنگ,تیتانیوم,داخلکربنبلک,https://bama.ir/car/detail-z7cx4uwl-kmc-eagle-1.5liter-1404,2025-06-08 18:57:28.142389,0
فونیکس,تیگو 8 پرو مکس,1404,IE,3377500000.0,تهران/سعادت‌آباد,0,بنزینی,اتوماتیک,بدون رنگ,نوکمدادی,داخلمارون,https://bama.ir/car/detail-sivskt4a-fownix-tiggo8promax-ie-1404,2025-06-08 18:57:22.173937,0
فونیکس,تیگو 8 پرو مکس,1403,IE,1950000000.0,تهران/استادمعین,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخلموکا,https://bama.ir/car/detail-zxpul7ob-fownix-tiggo8promax-ie-1403,2025-06-08 18:57:15.155278,1
کی,ام سی، T9,1403,2لیترتوربو,2860000000.0,تهران/سعادت‌آباد,0,بنزینی,اتوماتیک,بدون رنگ,مشکی,داخل مشکی,https://bama.ir/car/detail-mrkxx0ue-kmc-t9-2literturbo-1403,2025-06-08 18:56:59.894421,1
کی,ام سی، J7,1404,اتوماتیک,1020000000.0,تهران/تهرانپارسشرقی,0,بنزینی,اتوماتیک,بدون رنگ,نوکمدادی,داخل مشکی,https://bama.ir/car/detail-rfv6rhx0-kmc-j7-1404,2025-06-08 18:56:51.958548,0
شاهین,پلاس اتوماتیک,1404,AT6,729000000.0,تهران/جمهوری,0,بنزینی,اتوماتیک,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-96kiksta-shahin-plusat-at6-1404,2025-06-08 18:56:50.565542,0
اطلس,G,1404,دنده‌ای,302000000.0,تهران/جمهوری,0,بنزینی,دنده‌ای,بدون رنگ,سفید,داخل مشکی,https://bama.ir/car/detail-yuznqxtz-atlas-g-mt-1404,2025-06-08 18:56:42.034068,0
